query_id,pregunta,retrieval_exitoso,formato_exitoso,generacion_exitosa,categoria_error,detalle_error,modelo_extraccion_usado,prompt_version,prompt_hash
Q49,¿Cuáles son las herramientas de monitoreo que deben aplicar todos los bancos informantes (Categoría A)?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q50,¿Qué datos deben reportar los bancos respecto a sus posiciones netas acumuladas negativas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q51,¿Cuál es el propósito de la herramienta de Pagos totales?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q52,¿Qué implicaciones tiene el incumplimiento de las obligaciones con horario específico?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q53,¿Cuáles son las herramientas específicas para bancos que prestan servicios de corresponsalía bancaria?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q54,¿Qué detalles deben incluir los bancos corresponsales al reportar las líneas de crédito intradía otorgadas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q55,¿Qué herramienta es exclusiva para los bancos que son participantes directos?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q56,¿Qué permite evaluar el ritmo de liquidación intradía?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q57,¿Cuáles son los escenarios de tensión que deben considerar los bancos?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q58,¿Qué efecto puede tener una tensión financiera propia en un participante directo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q59,¿A qué nivel de la estructura organizacional deben aplicarse típicamente estas herramientas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q60,"En grupos bancarios transfronterizos, ¿cuál es la responsabilidad del supervisor de acogida respecto a una sucursal?",1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q61,¿Cuál es la fecha de implementación y la frecuencia inicial de reporte?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q62,¿Quién es el responsable final de la presentación de los datos ante el supervisor?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q63,¿Qué elementos se consideran fuentes propias de liquidez intradía?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q64,¿Qué indica una combinación de baja liquidez inicial y alta proporción de obligaciones con horario específico?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q65,¿Para consumo no revolvente cómo se define el pago realizado?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q66,¿Cuál es la fórmula para calcular la Probabilidad de Incumplimiento (PI) de un crédito de nómina en Etapa 1 o 2?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q67,¿Bajo qué condiciones un crédito de nómina pasa directamente a Etapa 3 de riesgo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q68,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito y qué criterios deben seguir para la migración entre etapas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q69,¿Cuáles son los enfoques que las instituciones pueden adoptar para el cálculo de reservas preventivas y qué requisitos deben cumplir para cada enfoque?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q70,¿Cómo se determina la Probabilidad de Incumplimiento para créditos clasificados en etapa 3?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q71,¿Qué criterios deben seguir las instituciones para migrar un crédito de una etapa de riesgo a otra?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q72,¿Qué se consideraría un crédito personal?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q73,¿Qué tipos de garantías pueden ser consideradas por las instituciones para la estimación de la Severidad de la Pérdida de los créditos?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q74,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito según el incremento significativo del riesgo crediticio?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q75,¿Qué se entiendo por saldo a pagar?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q76,¿Cómo se determina la reservas para los créditos en etapa 2?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q77,¿Cómo deben las instituciones calcular la Exposición al Incumplimiento para créditos donde el saldo es menor que el límite de crédito?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q78,¿Se pueden reportar tasas de interés en cero?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q79,¿Cuándo no exista información del acreditado en las sociedades de información crediticia que factor de riesgo se aplica?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q80,¿Cuál es la fórmula regulatoria para calcular el Coeficiente de Cobertura de Liquidez?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q81,¿Cómo se determina el flujo de salida contingente por operaciones con instrumentos financieros derivados?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q82,¿Cómo se calcula el flujo total de entrada de efectivo?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q83,¿Qué factor de salida se aplica a depósitos en cuentas transaccionales de personas físicas cubiertos por el IPAB?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q84,¿Cómo se registran las operaciones de compra-venta fecha valor para calcular el coeficiente de cobertura de liquidez?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q85,¿Cuál es la fórmula regulatoria para calcular el Coeficiente de Financiamiento Estable Neto y cómo debe expresarse el resultado porcentual?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q86,¿Con qué periodicidad debe reportarse el CFEN al Banco de México y a qué fecha de cálculo corresponde?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q87,¿Qué se entiende por Monto de Financiamiento Estable Disponible para efectos del CFEN?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q88,¿Qué se entiende por Monto de Financiamiento Estable Requerido para efectos del CFEN?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q89,"¿Qué factor de financiamiento estable disponible se asigna al capital fundamental, capital básico no fundamental y pasivos con plazo residual igual o mayor a un año?",0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q90,¿Cuál es la definición de liquidez intradía según las herramientas de monitoreo del Comité de Basilea?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q91,¿Cuáles son las principales fuentes propias de liquidez intradía que puede utilizar un banco durante el día hábil?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q92,¿Cómo se define un escenario de tensión de contraparte?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q93,¿Cómo se calcula el uso máximo diario de liquidez intradía a partir de la posición neta acumulada de pagos enviados y recibidos?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q94,¿Qué son las obligaciones con horario específico y por qué su incumplimiento puede generar riesgo financiero o reputacional?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q01,¿Para consumo no revolvente cómo se define el pago realizado?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q95,¿Cuál es la fórmula para calcular la Probabilidad de Incumplimiento (PI) de un crédito de nómina en Etapa 1 o 2?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q96,¿Bajo qué condiciones un crédito de nómina pasa directamente a Etapa 3 de riesgo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q97,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito y qué criterios deben seguir para la migración entre etapas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q98,¿Cuáles son los enfoques que las instituciones pueden adoptar para el cálculo de reservas preventivas y qué requisitos deben cumplir para cada enfoque?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q99,¿Cómo se determina la Probabilidad de Incumplimiento para créditos clasificados en etapa 3?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q100,¿Qué criterios deben seguir las instituciones para migrar un crédito de una etapa de riesgo a otra?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q101,¿Qué se consideraría un crédito personal?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q102,¿Qué tipos de garantías pueden ser consideradas por las instituciones para la estimación de la Severidad de la Pérdida de los créditos?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q103,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito según el incremento significativo del riesgo crediticio?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q104,¿Qué se entiende por saldo a pagar?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q105,¿Cómo se determina la reservas para los créditos en etapa 2?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q106,¿Cómo deben las instituciones calcular la Exposición al Incumplimiento para créditos donde el saldo es menor que el límite de crédito?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q107,¿Se pueden reportar tasas de interés en cero?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q108,¿Cuándo no exista información del acreditado en las sociedades de información crediticia que factor de riesgo se aplica?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
