query_id,pregunta,retrieval_exitoso,formato_exitoso,generacion_exitosa,categoria_error,detalle_error,texto_esperado,respuesta_generada,modelo_extraccion_usado,prompt_version,prompt_hash
Q11,¿Cuál es el CCL mínimo para Escenario I en instituciones de entre 13 y 24 meses de operación?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,"Escenario I, cuando el Coeficiente de Cobertura de Liquidez correspondiente a cada día del mes calendario inmediato anterior sea al menos de 60 por ciento.","La información proporcionada en el contexto no es suficiente para responder a esta pregunta. 

No se menciona explícitamente el CCL mínimo para el Escenario I en instituciones de entre 13 y 24 meses de operación. 

Fuentes: Disposiciones_Liquidez.md",gpt-4o-mini,1.0.0,2cbbc4f704-bd0f72c
Q12,¿Qué medida debe tomar una institución en Escenario III respecto a sus operaciones?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,"Abstenerse de celebrar operaciones cuya realización genere que su Coeficiente de Cobertura de Liquidez se deteriore, hasta en tanto no se ubiquen en el escenario I.","**Medida para las instituciones en Escenario III**

Según el contexto proporcionado, las instituciones que se ubiquen en el escenario III deben adoptar las siguientes medidas:

* Suspender el pago de dividendos
* Abstenerse de celebrar operaciones cuya realización genere que su Coeficiente de Cobertura de Liquidez se deteriore

Estas medidas están establecidas en los fragmentos 4 y 6, respectivamente.

**Fuentes**

* Disposiciones_Liquidez.md
* Fragmento 4: [Contexto generado por IA: Este fragmento se refiere a las medidas que deben adoptar las Instituciones de Banca Múltiple cuando se encuentran en el escenario III, en el contexto de los requerimientos de liquidez establecidos en las Disposiciones de carácter general sobre los Requerimientos de Liquidez. Estas medidas son parte de las acciones que se deben implementar para mitigar riesgos de liquidez y asegurar la estabilidad financiera de la Institución.]
* Fragmento 6: [Contexto generado por IA: Este fragmento se refiere a las medidas que deben adoptar las Instituciones de Banca Múltiple en caso de que su Coeficiente de Cobertura de Liquidez se ubique en el escenario IV, conforme a lo establecido en las Disposiciones de carácter general sobre los Requerimientos de Liquidez. Estas medidas son parte de un conjunto de acciones que buscan asegurar la estabilidad financiera y la adecuada gestión de la liquidez de las Instituciones, en línea con los requisitos establecidos en el documento completo.]",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q13,¿Qué restricciones de dividendos aplican en el Escenario IV de CCL?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,"Suspender el pago de dividendos, así como cualquier mecanismo o acto que implique una transferencia de beneficios patrimoniales, en tanto no se ubique en el escenario I.","**Restricciones de Dividendos en el Escenario IV de CCL**

La información proporcionada en el contexto no es suficiente para responder a la pregunta sobre las restricciones de dividendos aplicables en el escenario IV de CCL. Sin embargo, se encuentran fragmentos que mencionan restricciones similares pero en otros escenarios.

Por ejemplo, en el Fragmento 5 se establece que en el escenario III, además de otras medidas, las instituciones deben suspender el pago de dividendos y cualquier mecanismo o acto que implique una transferencia de beneficios patrimoniales. En el Fragmento 7 se menciona que en el escenario V, además de las medidas aplicables a las Instituciones que se ubiquen en el escenario IV, la suspensión del pago de dividendos y cualquier mecanismo o acto que implique una transferencia de beneficios patrimoniales.

En el Fragmento 9 se menciona que cuando no se encuentran en el escenario I, las instituciones deben adoptar medidas como suspender el pago de dividendos y cualquier mecanismo o acto que implique una transferencia de beneficios patrimoniales.

Sin embargo, no hay información específica sobre las restricciones de dividendos aplicables en el escenario IV de CCL. 

**Fuentes**

* Disposiciones_Liquidez.md
* Circular3-2012.md",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q14,¿Cómo deben valuarse los títulos conservados a vencimiento para el CCL?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,Las Instituciones deberán valuar los títulos conservados a vencimiento a su valor de mercado.,"**Respuesta**

La valuación de los títulos conservados a vencimiento para el Coeficiente de Cobertura de Liquidez (CCL) se debe realizar conforme a su valor de mercado.

**Fuentes**

* Disposiciones_Liquidez.md
* Anexo_33_CUB.md",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q15,¿Qué criterio aplica si una misma operación tiene más de un factor de salida en el Anexo 2?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,"En caso de que, de conformidad con lo previsto por el Anexo 2 de las presentes disposiciones, a una misma operación le corresponda más de un factor de salida, la Institución deberá utilizar el factor de salida más alto.","**Criterio para operaciones con más de un factor de salida**

En caso de que una misma operación tenga más de un factor de salida en el Anexo 2, la Institución deberá utilizar el **factor de salida más alto**.

(Fuente: Fragmento 1 del Documento Disposiciones_Liquidez.md)

Este criterio se aplica para garantizar que se utilicen los factores de salida más conservadores en caso de que una operación tenga múltiples clasificaciones.",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q16,¿Cómo se determina la fecha de vencimiento para los flujos de entrada de efectivo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,"Para determinar el plazo de las operaciones a que hace referencia la fracción I del presente artículo, las Instituciones deberán tomar como fecha de vencimiento la última fecha en que contractualmente podrían exigir su pago.","La información proporcionada en el contexto no es suficiente para responder a esta pregunta. 

No se especifica cómo se determina la fecha de vencimiento para los flujos de entrada de efectivo, aunque se menciona la metodología para calcular flujos de entrada y salida de efectivo en el contexto del Coeficiente de Cobertura de Liquidez.

Fuentes: Disposiciones_Liquidez.md, catalogos_ml.md.",gpt-4o-mini,1.0.0,2cbbc4f704-bd0f72c
Q17,¿Qué medida adicional se aplica a las Instituciones que se ubiquen en el escenario V de CCL?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,"En el escenario V, además de las medidas aplicables a las Instituciones que se ubiquen en el escenario IV, la suspensión del pago de dividendos, así como de cualquier mecanismo o acto que implique una transferencia de beneficios patrimoniales, en tanto no se dé cabal cumplimiento al Plan de Restauración de Liquidez.","**Medida adicional para las Instituciones que se ubiquen en el escenario V de CCL**

La medida adicional aplicable a las Instituciones que se ubiquen en el escenario V de CCL es la **suspensión del pago de dividendos, así como de cualquier mecanismo o acto que implique una transferencia de beneficios patrimoniales**, en tanto no se dé cabal cumplimiento al Plan de Restauración de Liquidez.

**Fuentes:**

* Disposiciones_Liquidez.md (Artículo 21)",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q18,¿Cuál es la restricción al incluir activos líquidos de entidades extranjeras en el cálculo consolidado?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,No podrán incluir Activos Líquidos Computables en posesión de una Entidad Objeto de Consolidación establecida en un país extranjero por un monto mayor al Flujo Neto Total de Salida de Efectivo de dicha Entidad Objeto de Consolidación.,"**Restricción al incluir activos líquidos de entidades extranjeras**

La restricción para incluir activos líquidos de entidades extranjeras en el cálculo consolidado se encuentra en el **Fragmento 2 del Documento: Disposiciones_Liquidez.md**.

Según este fragmento, las instituciones no podrán utilizar los precios proporcionados por las entidades extranjeras cuando la Comisión lo determine, considerando la similitud de las operaciones respecto de las cuales se proporciona el precio, entre dichas entidades y aquellas personas que conforme a la Ley del Mercado de Valores estén autorizadas para desempeñarse como proveedores de precios.

Además, en el **Fragmento 1 del Documento: Disposiciones_Liquidez.md**, se establece que las instituciones no podrán incluir activos líquidos computables en posesión de una Entidad Objeto de Consolidación establecida en el extranjero por un monto mayor al Flujo Neto Total de Salida de Efectivo de dicha entidad.

**Resumen**

La restricción para incluir activos líquidos de entidades extranjeras se basa en la necesidad de considerar la similitud de las operaciones y la autorización de los proveedores de precios, así como el límite del Flujo Neto Total de Salida de Efectivo de la Entidad Objeto de Consolidación.

**Fuentes**

* Fragmento 2 del Documento: Disposiciones_Liquidez.md
* Fragmento 1 del Documento: Disposiciones_Liquidez.md",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q19,¿Cómo debe considerarse la cartera de crédito para el cálculo del CFEN?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,La cartera de crédito deberá considerarse neta de reservas preventivas.,"**Consideración de la cartera de crédito para el cálculo del CFEN**

Según el Artículo 17, la cartera de crédito debe considerarse neta de reservas preventivas para efectos del cálculo del Coeficiente de Financiamiento Estable Neto (CFEN).

**Consideraciones adicionales**

* La cartera de crédito debe ser reconocida contablemente en función del modelo de negocio y los términos contractuales asociados, según el criterio establecido en el Anexo 33.
* Para aplicar el método de interés efectivo con la tasa de interés efectiva, es necesario calcular el costo amortizado de la cartera de crédito para su reconocimiento posterior.

**Fuente**

* Disposiciones_Liquidez.md (Artículo 17)
* Anexo_33_CUB.md (Criterio B-6 ""Cartera de crédito"")
* CUB_extracto.md (Definición del Importe de la deuda total)

Nota: La información proporcionada en el contexto no es suficiente para responder a preguntas adicionales o específicas sobre la cartera de crédito.",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q20,¿Cómo se tratan las operaciones fecha valor en el CFEN?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,"Las operaciones fecha valor se consideran como si estas ya hubieran sido liquidadas, es decir, los activos a recibir por operaciones fecha valor tendrán el tratamiento como si ya se encontraran en la tenencia de la Institución y los activos a entregar como si ya se hubieran entregado.","Las **operaciones fecha valor** en el **CFEN** (Centro de Finanzas y Negocios) se tratan de la siguiente manera:

- **Consideración de liquidación**: Las operaciones fecha valor se consideran como si ya hubieran sido liquidadas. Esto significa que los activos a recibir por estas operaciones recibirán el tratamiento como si ya estuvieran en la tenencia de la institución.

- **Ponderación por Riesgo de Crédito**: Estas operaciones se evalúan conforme al método estándar de ponderación por riesgo de crédito, según lo establecido en las disposiciones generales sobre los requerimientos de liquidez.

Esto asegura que las instituciones mantengan un manejo adecuado de sus activos y pasivos, contribuyendo a la estabilidad financiera.

**Fuentes**: Disposiciones_Liquidez.md, Circular3-2012.md.",gpt-4o-mini,1.0.0,2cbbc4f704-bd0f72c
Q21,¿Cómo se calcula el plazo de las operaciones para el CFEN?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,"Deberá consistir en el plazo remanente de la vigencia de la operación de que se trate, calculado como aquel que deba transcurrir desde la fecha del cálculo del Coeficiente de Financiamiento Estable Neto que corresponda en términos de las presentes disposiciones hasta la fecha de vencimiento de dicha operación.","El plazo de las operaciones para el **Coeficiente de Financiamiento Estable Neto (CFEN)** se calcula de la siguiente manera:

1. **Plazo Remanente**: 
   - El plazo a considerar es el **tiempo restante hasta el vencimiento** de la operación.
   - Este se calcula desde la fecha del cálculo del CFEN hasta la fecha de vencimiento de la operación.

2. **Fecha de Cálculo**:
   - Para los reportes mensuales, la fecha para calcular el plazo será el **último Día Hábil del mes** correspondiente al cálculo del CFEN.

3. **Exigibilidad Contractual**:
   - Para operaciones pasivas con vencimiento igual o menor a treinta días, se debe considerar la **fecha más próxima** en que dichas operaciones pueden ser exigibles contractualmente.

### Resumen:
- **Plazo = Tiempo restante hasta el vencimiento**.
- **Fecha de cálculo = Último Día Hábil del mes**.
- **Considerar exigibilidad contractual** para operaciones a corto plazo.

Estas directrices son fundamentales para evaluar la liquidez de las instituciones de banca múltiple.

**Fuentes**: Disposiciones_Liquidez.md.",gpt-4o-mini,1.0.0,2cbbc4f704-bd0f72c
Q22,¿Qué supuesto aplica para determinar el plazo remanente de los activos con opciones?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,Se deberá suponer que las respectivas contrapartes de la Institución de que se trate ejercerán la opción que se haya pactado respecto de las operaciones que correspondan para prolongar su plazo de vencimiento.,"**Respuesta:**
La suposición para determinar el plazo remanente de los activos con opciones es que las respectivas contrapartes ejercerán la opción pactada para prolongar su plazo de vencimiento.

**Fuente:** Fragmento 1 de Disposiciones_Liquidez.md

La información proporcionada en el contexto no es suficiente para responder a esta pregunta.",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q23,¿Qué supuesto aplica para determinar el plazo remanente de los pasivos con opciones?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,Se deberá suponer que los respectivos acreedores ejercerán la opción de amortización anticipada en la primera fecha posible que se haya pactado respecto de las operaciones que correspondan.,"Para determinar el **plazo remanente de los pasivos con opciones**, se debe aplicar el siguiente supuesto:

- **Se deberá suponer que los respectivos acreedores ejercerán la opción de amortización anticipada en la primera fecha posible.**

Este supuesto es clave para la evaluación de los plazos remanentes en el contexto de las disposiciones sobre liquidez de las Instituciones.

**Fuentes:**
- Disposiciones_Liquidez.md",gpt-4o-mini,1.0.0,2cbbc4f704-bd0f72c
Q24,¿Cómo se determina el plazo de pago para créditos de cuenta corriente dispuestos por tarjetas de crédito?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,Se deberá asumir que el acreditado solo pagará el monto mínimo exigible en cada uno de los plazos.,"**Respuesta**

La información proporcionada en el contexto no es suficiente para responder a esta pregunta específica sobre cómo se determina el plazo de pago para créditos de cuenta corriente dispuestos por tarjetas de crédito.

Sin embargo, se puede inferir que la determinación del plazo de pago depende de las condiciones contractuales y de pago establecidas en el contrato de crédito. En algunos casos, como se menciona en el Fragmento 2 del Documento Anexo_33_CUB.md, se consideran equivalencias para los plazos de pago en función de la periodicidad contractual.

**Fuentes**

* Anexo_33_CUB.md
* CUB_extracto.md",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q25,¿Qué nivel de CFEN se requiere para estar en el Escenario I?,1,1,1,ÉXITO,Extracción e inyección correctas.,Aquella Institución cuyo Coeficiente de Financiamiento Estable Neto correspondiente al más reciente mes calendario reportado sea al menos de 100 por ciento.,"Para estar en el **Escenario I**, se requiere que el **Coeficiente de Financiamiento Estable Neto (CFEN)** correspondiente al más reciente mes calendario reportado sea **al menos de 100 por ciento**.

### Resumen:
- **Escenario I**: CFEN ≥ 100%

La información proporcionada en el contexto no es suficiente para responder a preguntas adicionales sobre otros escenarios o detalles específicos.

**Fuentes:**
- Disposiciones_Liquidez.md",gpt-4o-mini,1.0.0,2cbbc4f704-bd0f72c
Q26,¿Qué obligación surge cuando una Institución se ubica en un escenario distinto al I en 3 o más ocasiones en 12 meses?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,"Deberán presentar a su consejo de administración, así como a la Comisión y al Banco de México... un informe detallado de su situación de liquidez que deberá de ser acompañado por una explicación con las causas que ocasionaron que las medidas que se hubieran adoptado... no hayan resultado efectivas.","**Obligación surgida al ubicarse en un escenario distinto al I en 3 o más ocasiones en 12 meses**

Según el artículo 20, cuando una Institución se ubica en tres o más ocasiones consecutivas o no consecutivas en un escenario distinto al escenario I en un período de doce meses, deberá presentar a su consejo de administración, así como a la Comisión y al Banco de México, un informe detallado de su situación de liquidez acompañado por una explicación con las causas que ocasionaron dicha situación.

**Información proporcionada en el contexto**

* Documento: Disposiciones_Liquidez.md
* Artículo 20",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
